10/02/2020 14:11:45	3325
10/02/2020 14:12:04	2983
10/02/2020 14:12:26	2025
10/02/2020 14:12:37	1541
10/02/2020 14:12:50	2866
10/02/2020 14:13:15	2600
10/02/2020 14:13:36	2573
10/02/2020 14:13:53	2251
10/02/2020 14:14:23	3000
10/02/2020 14:14:35	2835
10/02/2020 18:22:08	3684
10/02/2020 18:28:22	2875
10/02/2020 18:29:17	1905
10/02/2020 18:55:04	2448
10/02/2020 22:15:12	2638
10/02/2020 22:35:51	3348
10/02/2020 22:36:48	2292
10/02/2020 22:37:02	2347
10/02/2020 22:37:19	2437
10/02/2020 22:37:33	2910
10/02/2020 22:38:04	3743
